1510,0.0
1509,0.0
1508,0.0
1507,0.0
1506,0.0
1505,0.0
1504,0.0
1503,0.0
1502,0.0
1501,0.0
1500,0.0
1499,0.1
1498,0.2
1497,0.4
1496,0.5
1495,0.6
1494,0.7
1493,0.8
1492,0.9
1491,1.1
1490,1.2
1489,1.3
1488,1.4
1487,1.5
1486,1.7
1485,1.8
1484,1.9
1483,2.0
1482,2.2
1481,2.3
1480,2.4
1479,2.5
1478,2.7
1477,2.8
1476,2.9
1475,3.0
1474,3.2
1473,3.3
1472,3.4
1471,3.6
1470,3.7
1469,3.8
1468,3.9
1467,4.1
1466,4.2
1465,4.3
1464,4.5
1463,4.6
1462,4.7
1461,4.9
1460,5.0
1459,5.1
1458,5.3
1457,5.4
1456,5.5
1455,5.7
1454,5.8
1453,5.9
1452,6.1
1451,6.2
1450,6.4
1449,6.5
1448,6.6
1447,6.8
1446,6.9
1445,7.1
1444,7.2
1443,7.3
1442,7.5
1441,7.6
1440,7.8
1439,7.9
1438,8.0
1437,8.2
1436,8.3
1435,8.5
1434,8.6
1433,8.8
1432,8.9
1431,9.1
1430,9.2
1429,9.3
1428,9.5
1427,9.6
1426,9.8
1425,9.9
1424,10.1
1423,10.2
1422,10.4
1421,10.5
1420,10.7
1419,10.8
1418,11.0
1417,11.1
1416,11.3
1415,11.4
1414,11.6
1413,11.7
1412,11.9
1411,12.1
1410,12.2
1409,12.4
1408,12.5
1407,12.7
1406,12.8
1405,13.0
1404,13.1
1403,13.3
1402,13.5
1401,13.6

